id,Kanji,Old Kanji,Radical,Strokes,Grade,JLPT,Meanings,Kun yomi,Kun romaji,On yomi,On romaji
1083,垂,,土,8,6,1,droop,"た-れる, た-らす"," ta-reru,  ta-rasu",スイ,sui
1084,炊,,火,8,S,1,cook,た-く, ta-ku,スイ,sui
1085,帥,,巾,9,S,1,commander,,,スイ,sui
1086,粋,粹,米,10,S,1,chic,いき, iki,スイ,sui
1087,衰,,衣,10,S,1,decline,おとろ-える, otoro-eru,スイ,sui
1088,推,,手,11,6,1,infer,お-す, o-su,スイ,sui
1089,酔,醉,酉,11,S,1,drunk,よ-う, yo-u,スイ,sui
1090,遂,,辵,12,S,1,consummate,と-げる, to-geru,スイ,sui
1091,睡,,目,13,S,1,drowsy,,,スイ,sui
1092,穂,穗,禾,15,S,1,ear,ほ, ho,スイ,sui
1093,随,隨,阜,12,S,1,follow,,,ズイ,zui
1094,髄,髓,骨,19,S,1,marrow,,,ズイ,zui
1095,枢,樞,木,8,S,1,hinge,,,スウ,suu
1096,崇,,山,11,S,1,adore,,,スウ,suu
1097,数,數,攴,13,2,3,number,"かず, かぞ-える"," kazu,  kazo-eru","スウ, （ス）","suu,  (su)"
1098,据,,手,11,S,1,set,"す-える, す-わる","su-eru,  su-waru",,
1099,杉,,木,7,S,1,cedar,すぎ,sugi,,
1100,裾,,衣,13,S,0,cuff,すそ,suso,,
1101,寸,,寸,3,6,1,measurement,,,スン,sun
1102,瀬,瀨,水,19,S,1,rapids,せ,se,,
1103,是,,日,9,S,1,just so,,,ゼ,ze
1104,井,,二,4,4,1,well,い, i,"セイ, （ショウ）","sei,  (shou)"
1105,世,,一,5,3,4,world,よ, yo,"セイ, セ","sei,  se"
1106,正,,止,5,1,4,correct,"ただ-しい, ただ-す, まさ"," tada-shii,  tada-su,  masa","セイ, ショウ","sei,  shou"
1107,生,,生,5,1,5,life,"い-きる, い-かす, い-ける, う-まれる, う-む, お-う, は-える, は-やす, き, なま"," i-kiru,  i-kasu,  i-keru,  u-mareru,  u-mu,  o-u,  ha-eru,  ha-yasu,  ki,  nama","セイ, ショウ","sei,  shou"
1108,成,,戈,6,4,3,become,"な-る, な-す"," na-ru,  na-su","セイ, （ジョウ）","sei,  (jou)"
1109,西,,襾,6,2,5,west,にし, nishi,"セイ, サイ","sei,  sai"
1110,声,聲,耳,7,2,3,voice,"こえ, （こわ）"," koe,  (kowa)","セイ, （ショウ）","sei,  (shou)"
1111,制,,刀,8,5,3,control,,,セイ,sei
1112,姓,,女,8,S,2,surname,,,"セイ, ショウ","sei,  shou"
1113,征,,彳,8,S,1,subjugate,,,セイ,sei
1114,性,,心,8,5,3,gender,,,"セイ, ショウ","sei,  shou"
1115,青,,靑,8,1,4,blue,"あお, あお-い"," ao,  ao-i","セイ, （ショウ）","sei,  (shou)"
1116,斉,齊,齊,8,S,1,adjusted,,,セイ,sei
1117,政,,攴,9,5,3,politics,まつりごと, matsurigoto,"セイ, （ショウ）","sei,  (shou)"
1118,星,,日,9,2,2,star,ほし, hoshi,"セイ, （ショウ）","sei,  (shou)"
1119,牲,,牛,9,S,1,animal sacrifice,,,セイ,sei
1120,省,,目,9,4,2,government ministry,"かえり-みる, はぶ-く"," kaeri-miru,  habu-ku","セイ, ショウ","sei,  shou"
1121,凄,,冫,10,S,0,uncanny,,,セイ,sei
1122,逝,,辵,10,S,1,departed,"ゆ-く, い-く"," yu-ku,  i-ku",セイ,sei
1123,清,,水,11,4,2,pure,"きよ-い, きよ-まる, きよ-める"," kiyo-i,  kiyo-maru,  kiyo-meru","セイ, （ショウ）","sei,  (shou)"
1124,盛,,皿,11,6,1,prosper,"も-る, さか-る, さか-ん"," mo-ru,  saka-ru,  saka-n","セイ, （ジョウ）","sei,  (jou)"
1125,婿,,女,12,S,1,bridegroom,むこ, muko,セイ,sei
1126,晴,,日,12,2,3,clear up,"は-れる, は-らす"," ha-reru,  ha-rasu",セイ,sei
1127,勢,,力,13,5,2,power,いきお-い, ikio-i,セイ,sei
1128,聖,,耳,13,6,1,holy,,,セイ,sei
1129,誠,,言,13,6,1,sincerity,まこと, makoto,セイ,sei
1130,精,,米,14,5,3,refined,,,"セイ, （ショウ）","sei,  (shou)"
1131,製,,衣,14,5,1,manufacture,,,セイ,sei
1132,誓,,言,14,S,1,vow,ちか-う, chika-u,セイ,sei
1133,静,靜,靑,14,4,3,quiet,"しず, しず-か, しず-まる, しず-める"," shizu,  shizu-ka,  shizu-maru,  shizu-meru","セイ, （ジョウ）","sei,  (jou)"
1134,請,,言,15,S,1,solicit,"こ-う, う-ける"," ko-u,  u-keru","セイ, （シン）","sei,  (shin)"
1135,整,,攴,16,3,2,put in order,"ととの-える, ととの-う"," totono-eru,  totono-u",セイ,sei
1136,醒,,酉,16,S,0,be disillusioned,,,セイ,sei
1137,税,,禾,12,5,2,tax,,,ゼイ,zei
1138,夕,,夕,3,1,4,evening,ゆう, yuu,セキ,seki
1139,斥,,斤,5,S,1,reject,,,セキ,seki
1140,石,,石,5,1,3,stone,いし, ishi,"セキ, （シャク）, （コク）","seki,  (shaku),  (koku)"
1141,赤,,赤,7,1,4,red,"あか, あか-い, あか-らむ, あか-らめる"," aka,  aka-i,  aka-ramu,  aka-rameru","セキ, （シャク）","seki,  (shaku)"
1142,昔,,日,8,3,3,long ago,むかし, mukashi,"セキ, （シャク）","seki,  (shaku)"
1143,析,,木,8,S,1,chop,,,セキ,seki
1144,席,,巾,10,4,3,seat,,,セキ,seki
1145,脊,,肉,10,S,0,stature,,,セキ,seki
1146,隻,,隹,10,S,1,vessels,,,セキ,seki
1147,惜,,心,11,S,1,pity,"お-しい, お-しむ"," o-shii,  o-shimu",セキ,seki
1148,戚,,戈,11,S,0,grieve,,,セキ,seki
1149,責,,貝,11,5,3,blame,せ-める, se-meru,セキ,seki
1150,跡,,足,13,S,1,tracks,あと, ato,セキ,seki
1151,積,,禾,16,4,3,accumulate,"つ-む, つ-もる"," tsu-mu,  tsu-moru",セキ,seki
1152,績,,糸,17,5,2,exploits,,,セキ,seki
1153,籍,,竹,20,S,1,enroll,,,セキ,seki
1154,切,,刀,4,2,4,cut,"き-る, き-れる"," ki-ru,  ki-reru","セツ, （サイ）","setsu,  (sai)"
1155,折,,手,7,4,3,fold,"お-る, おり, お-れる"," o-ru,  ori,  o-reru",セツ,setsu
1156,拙,,手,8,S,1,bungling,つたな-い, tsutana-i,セツ,setsu
1157,窃,竊,穴,9,S,1,stealth,,,セツ,setsu
1158,接,,手,11,5,2,contact,つ-ぐ, tsu-gu,セツ,setsu
1159,設,,言,11,5,2,establish,もう-ける, mou-keru,セツ,setsu
1160,雪,,雨,11,2,3,snow,ゆき, yuki,セツ,setsu
1161,摂,攝,手,13,S,1,vicarious,,,セツ,setsu
1162,節,節,竹,13,4,2,node,ふし, fushi,"セツ, （セチ）","setsu,  (sechi)"
1163,説,,言,14,4,3,theory,と-く, to-ku,"セツ, （ゼイ）","setsu,  (zei)"
1164,舌,,舌,6,6,1,tongue,した, shita,ゼツ,zetsu
1165,絶,絕,糸,12,5,3,discontinue,"た-える, た-やす, た-つ"," ta-eru,  ta-yasu,  ta-tsu",ゼツ,zetsu
1166,千,,十,3,1,5,thousand,ち, chi,セン,sen
1167,川,,巛,3,1,5,river,かわ, kawa,セン,sen
1168,仙,,人,5,S,1,hermit,,,セン,sen
1169,占,,卜,5,S,2,fortune telling,"し-める, うらな-う"," shi-meru,  urana-u",セン,sen
1170,先,,儿,6,1,5,previous,さき, saki,セン,sen
1171,宣,,宀,9,6,1,proclaim,,,セン,sen
1172,専,專,寸,9,6,2,specialty,もっぱ-ら, moppa-ra,セン,sen
1173,泉,,水,9,6,2,spring,いずみ, izumi,セン,sen
1174,浅,淺,水,9,4,2,shallow,あさ-い, asa-i,セン,sen
1175,洗,,水,9,6,3,wash,あら-う, ara-u,セン,sen
1176,染,,木,9,6,1,dye,"そ-める, そ-まる, し-みる, し-み"," so-meru,  so-maru,  shi-miru,  shi-mi",セン,sen
1177,扇,,戶,10,S,1,fan,おうぎ, ougi,セン,sen
1178,栓,,木,10,S,1,plug,,,セン,sen
1179,旋,,方,11,S,1,rotation,,,セン,sen
1180,船,,舟,11,2,3,boat,"ふね, （ふな）"," fune,  (funa)",セン,sen
1181,戦,戰,戈,13,4,3,war,"いくさ, たたか-う"," ikusa,  tataka-u",セン,sen
1182,煎,,火,13,S,0,broil,い-る, i-ru,セン,sen
1183,羨,,羊,13,S,0,envy,"うらや-む, うらや-ましい"," uraya-mu,  uraya-mashii",セン,sen
1184,腺,,肉,13,S,0,gland,,,セン,sen
1185,詮,,言,13,S,0,discussion,,,セン,sen
1186,践,踐,足,13,S,1,tread,,,セン,sen
1187,箋,,竹,14,S,0,paper,,,セン,sen
1188,銭,錢,金,14,6,1,coin,ぜに, zeni,セン,sen
1189,潜,潛,水,15,S,1,submerge,"ひそ-む, もぐ-る"," hiso-mu,  mogu-ru",セン,sen
1190,線,,糸,15,2,2,line,,,セン,sen
1191,遷,,辵,15,S,1,transition,,,セン,sen
1192,選,,辵,15,4,3,choose,えら-ぶ, era-bu,セン,sen
1193,薦,,艸,16,S,1,recommend,すす-める, susu-meru,セン,sen
1194,繊,纖,糸,17,S,1,slender,,,セン,sen
1195,鮮,,魚,17,S,1,fresh,あざ-やか, aza-yaka,セン,sen
1196,全,,入,6,3,3,whole,"まった-く, すべ-て"," matta-ku,  sube-te",ゼン,zen
1197,前,,刀,9,2,5,in front,まえ, mae,ゼン,zen
1198,善,,口,12,6,2,good,よ-い, yo-i,ゼン,zen
1199,然,,火,12,4,3,so,,,"ゼン, ネン","zen,  nen"
1200,禅,禪,示,13,S,1,Zen,,,ゼン,zen
1201,漸,,水,14,S,1,steadily,,,ゼン,zen
1202,膳,,肉,16,S,0,tray,,,ゼン,zen
1203,繕,,糸,18,S,1,darning,つくろ-う, tsukuro-u,ゼン,zen
1204,狙,,犬,8,S,1,aim at,ねら-う, nera-u,ソ,so
1205,阻,,阜,8,S,1,thwart,はば-む, haba-mu,ソ,so
1206,祖,祖,示,9,5,3,ancestor,,,ソ,so
1207,租,,禾,10,S,1,tariff,,,ソ,so
1208,素,,糸,10,5,1,elementary,,,"ソ, ス","so,  su"
1209,措,,手,11,S,1,set aside,,,ソ,so
1210,粗,,米,11,S,1,coarse,あら-い, ara-i,ソ,so
1211,組,,糸,11,2,3,association,"く-む, くみ"," ku-mu,  kumi",ソ,so
1212,疎,,疋,12,S,1,alienate,"うと-い, うと-む"," uto-i,  uto-mu",ソ,so
1213,訴,,言,12,S,1,sue,うった-える, utta-eru,ソ,so
1214,塑,,土,13,S,1,model,,,ソ,so
1215,遡,,辵,14,S,0,go upstream,さかのぼ-る, sakanobo-ru,ソ,so
1216,礎,,石,18,S,1,cornerstone,いしずえ, ishizue,ソ,so
1217,双,雙,隹,4,S,2,pair,ふた, futa,ソウ,sou
1218,壮,壯,士,6,S,1,robust,,,ソウ,sou
1219,早,,日,6,1,4,early,"はや-い, はや-まる, はや-める"," haya-i,  haya-maru,  haya-meru","ソウ, （サッ）","sou,  (sa')"
1220,争,爭,爪,6,4,3,conflict,あらそ-う, araso-u,ソウ,sou
1221,走,,走,7,2,4,run,はし-る, hashi-ru,ソウ,sou
1222,奏,,大,9,6,1,play music,かな-でる, kana-deru,ソウ,sou
1223,相,,目,9,3,3,mutual,あい, ai,"ソウ, ショウ","sou,  shou"
1224,荘,莊,艸,9,S,1,villa,,,ソウ,sou
1225,草,,艸,9,1,3,grass,くさ, kusa,ソウ,sou
1226,送,,辵,9,3,4,send,おく-る, oku-ru,ソウ,sou
1227,倉,,人,10,4,1,warehouse,くら, kura,ソウ,sou
1228,捜,搜,手,10,S,2,search,さが-す, saga-su,ソウ,sou
1229,挿,插,手,10,S,1,insert,さ-す, sa-su,ソウ,sou
1230,桑,,木,10,S,1,mulberry,くわ, kuwa,ソウ,sou
1231,巣,巢,巛,11,4,1,nest,す, su,ソウ,sou
1232,掃,,手,11,S,2,sweep,は-く, ha-ku,ソウ,sou
1233,曹,,曰,11,S,1,cadet,,,ソウ,sou
1234,曽,曾,曰,11,S,0,formerly,,,"ソウ, （ゾ）","sou,  (zo)"
1235,爽,,爻,11,S,1,refreshing,さわ-やか, sawa-yaka,ソウ,sou
1236,窓,,穴,11,6,3,window,まど, mado,ソウ,sou
1237,創,,刀,12,6,1,create,つく-る, tsuku-ru,ソウ,sou
1238,喪,,口,12,S,1,miss,も, mo,ソウ,sou
1239,痩,瘦,疒,12,S,0,get thin,や-せる, ya-seru,ソウ,sou
1240,葬,,艸,12,S,1,interment,ほうむ-る, houmu-ru,ソウ,sou
1241,装,裝,衣,12,6,2,attire,よそお-う, yosoo-u,"ソウ, ショウ","sou,  shou"
1242,僧,僧,人,13,S,1,Buddhist priest,,,ソウ,sou
1243,想,,心,13,3,3,concept,,,"ソウ, （ソ）","sou,  (so)"
1244,層,層,尸,14,6,2,stratum,,,ソウ,sou
1245,総,總,糸,14,5,2,whole,,,ソウ,sou
1246,遭,,辵,14,S,1,encounter,あ-う, a-u,ソウ,sou
1247,槽,,木,15,S,1,vat,,,ソウ,sou
1248,踪,,足,15,S,0,remains,,,ソウ,sou
1249,操,,手,16,6,2,maneuver,"みさお, あやつ-る"," misao,  ayatsu-ru",ソウ,sou
1250,燥,,火,17,S,2,parch,,,ソウ,sou
1251,霜,,雨,17,S,1,frost,しも, shimo,ソウ,sou
1252,騒,騷,馬,18,S,1,boisterous,さわ-ぐ, sawa-gu,ソウ,sou
1253,藻,,艸,19,S,1,seaweed,も, mo,ソウ,sou
1254,造,,辵,10,5,2,create,つく-る, tsuku-ru,ゾウ,zou
1255,像,,人,14,5,2,statue,,,ゾウ,zou
1256,増,增,土,14,5,3,increase,"ま-す, ふ-える, ふ-やす"," ma-su,  fu-eru,  fu-yasu",ゾウ,zou
1257,憎,憎,心,14,S,2,hate,"にく-む, にく-い, にく-らしい, にく-しみ"," niku-mu,  niku-i,  niku-rashii,  niku-shimi",ゾウ,zou
1258,蔵,藏,艸,15,6,2,warehouse,くら, kura,ゾウ,zou
1259,贈,贈,貝,18,S,2,presents,おく-る, oku-ru,"ゾウ, （ソウ）","zou,  (sou)"
1260,臓,臟,肉,19,6,2,entrails,,,ゾウ,zou
1261,即,卽,卩,7,S,1,instant,,,ソク,soku
1262,束,,木,7,4,3,bundle,たば, taba,ソク,soku
1263,足,,足,7,1,4,foot,"あし, た-りる, た-る, た-す"," ashi,  ta-riru,  ta-ru,  ta-su",ソク,soku
1264,促,,人,9,S,1,stimulate,うなが-す, unaga-su,ソク,soku
1265,則,,刀,9,5,2,rule,,,ソク,soku
1266,息,,心,10,3,3,breath,いき, iki,ソク,soku
1267,捉,,手,10,S,0,capture,とら-える, tora-eru,ソク,soku
1268,速,,辵,10,3,3,fast,"はや-い, はや-める, はや-まる, すみ-やか"," haya-i,  haya-meru,  haya-maru,  sumi-yaka",ソク,soku
1269,側,,人,11,4,3,side,がわ, gawa,ソク,soku
1270,測,,水,12,5,2,fathom,はか-る, haka-ru,ソク,soku
1271,俗,,人,9,S,1,vulgar,,,ゾク,zoku
1272,族,,方,11,3,4,tribe,,,ゾク,zoku
1273,属,屬,尸,12,5,1,belong,,,ゾク,zoku
1274,賊,,貝,13,S,1,burglar,,,ゾク,zoku
1275,続,續,糸,13,4,3,continue,"つづ-く, つづ-ける"," tsuzu-ku,  tsuzu-keru",ゾク,zoku
1276,卒,,十,8,4,2,graduate,,,ソツ,sotsu
1277,率,,玄,11,5,1,rate,ひき-いる, hiki-iru,"ソツ, リツ","sotsu,  ritsu"
1278,存,,子,6,6,3,suppose,,,"ソン, ゾン","son,  zon"
1279,村,,木,7,1,3,village,むら, mura,ソン,son
1280,孫,,子,10,4,2,grandchild,まご, mago,ソン,son
1281,尊,,寸,12,6,2,revered,"たっと-い, とうと-い, たっと-ぶ, とうと-ぶ"," tatto-i,  touto-i,  tatto-bu,  touto-bu",ソン,son
1282,損,,手,13,5,2,loss,"そこ-なう, そこ-ねる"," soko-nau,  soko-neru",ソン,son
1283,遜,,辵,14,S,0,humble,,,ソン,son
1284,他,,人,5,3,3,other,ほか, hoka,タ,ta
1285,多,,夕,6,2,4,many,おお-い, oo-i,タ,ta
1286,汰,,水,7,S,1,luxury,,,タ,ta
1287,打,,手,5,3,3,hit,う-つ, u-tsu,ダ,da
1288,妥,,女,7,S,1,gentle,,,ダ,da
1289,唾,,口,11,S,0,saliva,つば, tsuba,ダ,da
1290,堕,墮,土,12,S,1,degenerate,,,ダ,da
1291,惰,,心,12,S,1,lazy,,,ダ,da
1292,駄,,馬,14,S,1,burdensome,,,ダ,da
1293,太,,大,4,2,3,thick,"ふと-い, ふと-る"," futo-i,  futo-ru","タイ, タ","tai,  ta"
1294,対,對,寸,7,3,3,opposite,,,"タイ, ツイ","tai,  tsui"
1295,体,體,骨,7,2,4,body,からだ, karada,"タイ, テイ","tai,  tei"
1296,耐,,而,9,S,1,resistant,た-える, ta-eru,タイ,tai
1297,待,,彳,9,3,4,wait,ま-つ, ma-tsu,タイ,tai
1298,怠,,心,9,S,1,neglect,"おこた-る, なま-ける"," okota-ru,  nama-keru",タイ,tai
1299,胎,,肉,9,S,1,womb,,,タイ,tai
1300,退,,辵,9,6,3,retreat,"しりぞ-く, しりぞ-ける"," shirizo-ku,  shirizo-keru",タイ,tai
1301,帯,帶,巾,10,4,2,sash,"お-びる, おび"," o-biru,  obi",タイ,tai
1302,泰,,水,10,S,1,peaceful,,,タイ,tai
1303,堆,,土,11,S,0,piled high,,,タイ,tai
1304,袋,,衣,11,S,2,sack,ふくろ, fukuro,タイ,tai
1305,逮,,辵,11,S,1,apprehend,,,タイ,tai
1306,替,,曰,12,S,2,exchange,"か-える, か-わる"," ka-eru,  ka-waru",タイ,tai
1307,貸,,貝,12,5,4,lend,か-す, ka-su,タイ,tai
1308,隊,,阜,12,4,1,group,,,タイ,tai
1309,滞,滯,水,13,S,1,stagnate,とどこお-る, todokoo-ru,タイ,tai
1310,態,,心,14,5,1,condition,,,タイ,tai
1311,戴,,戈,17,S,0,be crowned with,,,タイ,tai
1312,大,,大,3,1,5,large,"おお, おお-きい, おお-いに"," oo,  oo-kii,  oo-ini","ダイ, タイ","dai,  tai"
1313,代,,人,5,3,4,substitute,"か-わる, か-える, よ, しろ"," ka-waru,  ka-eru,  yo,  shiro","ダイ, タイ","dai,  tai"
1314,台,臺,至,5,2,4,pedestal,,,"ダイ, タイ","dai,  tai"
1315,第,,竹,11,3,1,ordinal number prefix,,,ダイ,dai
1316,題,,頁,18,3,4,topic,,,ダイ,dai
1317,滝,瀧,水,13,S,1,waterfall,たき,taki,,
1318,宅,,宀,6,6,3,home,,,タク,taku
1319,択,擇,手,7,S,1,choose,,,タク,taku
1320,沢,澤,水,7,S,1,swamp,さわ, sawa,タク,taku
1321,卓,,十,8,S,1,eminent,,,タク,taku
1322,拓,,手,8,S,1,clear (the land),,,タク,taku
1323,託,,言,10,S,1,consign,,,タク,taku
1324,濯,,水,17,S,2,laundry,,,タク,taku
1325,諾,,言,15,S,1,consent,,,ダク,daku
1326,濁,,水,16,S,1,voiced,"にご-る, にご-す"," nigo-ru,  nigo-su",ダク,daku
1327,但,,人,7,S,1,however,ただ-し,tada-shi,,
1328,達,,辵,12,4,3,attain,,,タツ,tatsu
1329,脱,,肉,11,S,1,undress,"ぬ-ぐ, ぬ-げる"," nu-gu,  nu-geru",ダツ,datsu
1330,奪,,大,14,S,1,rob,うば-う, uba-u,ダツ,datsu
1331,棚,,木,12,S,1,shelf,たな,tana,,
1332,誰,,言,15,S,0,who (question word),だれ,dare,,
1333,丹,,丶,4,S,1,cinnabar,,,タン,tan
1334,旦,,日,5,S,1,daybreak,,,"タン, ダン","tan,  dan"
1335,担,擔,手,8,6,2,shouldering,"かつ-ぐ, にな-う"," katsu-gu,  nina-u",タン,tan
1336,単,單,口,9,4,3,simple,,,タン,tan
1337,炭,,火,9,3,2,charcoal,すみ, sumi,タン,tan
1338,胆,膽,肉,9,S,1,gall bladder,,,タン,tan
1339,探,,手,11,6,3,grope,"さぐ-る, さが-す"," sagu-ru,  saga-su",タン,tan
1340,淡,,水,11,S,1,thin,あわ-い, awa-i,タン,tan
1341,短,,矢,12,3,3,short,みじか-い, mijika-i,タン,tan
1342,嘆,嘆,口,13,S,1,sigh,"なげ-く, なげ-かわしい"," nage-ku,  nage-kawashii",タン,tan
1343,端,,立,14,S,1,edge,"はし, は, はた"," hashi,  ha,  hata",タン,tan
1344,綻,,糸,14,S,0,rip,ほころ-びる, hokoro-biru,タン,tan
1345,誕,,言,15,6,1,nativity,,,タン,tan
1346,鍛,,金,17,S,1,forge,きた-える, kita-eru,タン,tan
1347,団,團,囗,6,5,2,group,,,"ダン, （トン）","dan,  (ton)"
1348,男,,田,7,1,5,male,おとこ, otoko,"ダン, ナン","dan,  nan"
1349,段,,殳,9,6,3,steps,,,ダン,dan
1350,断,斷,斤,11,5,3,cut off,"た-つ, ことわ-る"," ta-tsu,  kotowa-ru",ダン,dan
1351,弾,彈,弓,12,S,1,bullet,"ひ-く, はず-む, たま"," hi-ku,  hazu-mu,  tama",ダン,dan
1352,暖,,日,13,6,1,warmth,"あたた-か, あたた-かい, あたた-まる, あたた-める"," atata-ka,  atata-kai,  atata-maru,  atata-meru",ダン,dan
1353,談,,言,15,3,3,discuss,,,ダン,dan
1354,壇,,土,16,S,1,podium,,,"ダン, （タン）","dan,  (tan)"
1355,地,,土,6,2,4,ground,,,"チ, ジ","chi,  ji"
1356,池,,水,6,2,3,pond,いけ, ike,チ,chi
1357,知,,矢,8,2,4,know,し-る, shi-ru,チ,chi
1358,値,,人,10,6,3,value,"ね, あたい"," ne,  atai",チ,chi
1359,恥,,心,10,S,3,shame,"は-じる, はじ, は-じらう, は-ずかしい"," ha-jiru,  haji,  ha-jirau,  ha-zukashii",チ,chi
1360,致,,至,10,S,1,(to) do,いた-す, ita-su,チ,chi
1361,遅,遲,辵,12,S,3,slow,"おく-れる, おく-らす, おそ-い"," oku-reru,  oku-rasu,  oso-i",チ,chi
1362,痴,癡,疒,13,S,1,stupid,,,チ,chi
1363,稚,,禾,13,S,1,immature,,,チ,chi
1364,置,,网,13,4,3,put,お-く, o-ku,チ,chi
1365,緻,,糸,16,S,0,fine (not coarse),,,チ,chi
1366,竹,,竹,6,1,2,bamboo,たけ, take,チク,chiku
1367,畜,,田,10,S,2,livestock,,,チク,chiku
1368,逐,,辵,10,S,1,pursue,,,チク,chiku
1369,蓄,,艸,13,S,1,amass,たくわ-える, takuwa-eru,チク,chiku
1370,築,,竹,16,5,2,fabricate,きず-く, kizu-ku,チク,chiku
1371,秩,,禾,10,S,1,regularity,,,チツ,chitsu
1372,窒,,穴,11,S,1,plug up,,,チツ,chitsu
1373,茶,,艸,9,2,4,tea,,,"チャ, サ","cha,  sa"
1374,着,,羊,12,3,4,wear,"き-る, き-せる, つ-く, つ-ける"," ki-ru,  ki-seru,  tsu-ku,  tsu-keru","チャク, （ジャク）","chaku,  (jaku)"
1375,嫡,,女,14,S,1,legitimate wife,,,チャク,chaku
1376,中,,丨,4,1,5,middle,なか, naka,"チュウ, （ジュウ）","chuu,  (juu)"
1377,仲,,人,6,4,2,relationship,なか, naka,チュウ,chuu
1378,虫,蟲,虫,6,1,2,insect,むし, mushi,チュウ,chuu
1379,沖,,水,7,4,1,open sea,おき, oki,チュウ,chuu
1380,宙,,宀,8,6,1,mid-air,,,チュウ,chuu
1381,忠,,心,8,6,1,loyalty,,,チュウ,chuu
1382,抽,,手,8,S,1,pluck,,,チュウ,chuu
1383,注,,水,8,3,4,pour,そそ-ぐ, soso-gu,チュウ,chuu
1384,昼,晝,日,9,2,4,daytime,ひる, hiru,チュウ,chuu
1385,柱,,木,9,3,2,pillar,はしら, hashira,チュウ,chuu
1386,衷,,衣,10,S,1,inmost,,,チュウ,chuu
1387,酎,,酉,10,S,0,sake,,,チュウ,chuu
1388,鋳,鑄,金,15,S,1,casting,い-る, i-ru,チュウ,chuu
1389,駐,,馬,15,S,2,stop-over,,,チュウ,chuu
1390,著,著,艸,11,6,2,renowned,"あらわ-す, いちじる-しい"," arawa-su,  ichijiru-shii",チョ,cho
1391,貯,,貝,12,5,2,savings,,,チョ,cho
1392,丁,,一,2,3,1,ward,,,"チョウ, テイ","chou,  tei"
1393,弔,,弓,4,S,1,condolences,とむら-う, tomura-u,チョウ,chou
1394,庁,廳,广,5,6,2,government office,,,チョウ,chou
1395,兆,,儿,6,4,2,"portent, trillion","きざ-す, きざ-し"," kiza-su,  kiza-shi",チョウ,chou
1396,町,,田,7,1,4,town,まち, machi,チョウ,chou
1397,長,,長,8,2,5,long,なが-い, naga-i,チョウ,chou
1398,挑,,手,9,S,1,challenge,いど-む, ido-mu,チョウ,chou
1399,帳,,巾,11,3,1,account book,,,チョウ,chou
1400,張,,弓,11,5,2,stretch,は-る, ha-ru,チョウ,chou
1401,彫,,彡,11,S,1,carve,ほ-る, ho-ru,チョウ,chou
1402,眺,,目,11,S,1,stare,なが-める, naga-meru,チョウ,chou
1403,釣,,金,11,S,1,angling,つ-る, tsu-ru,チョウ,chou
1404,頂,,頁,11,6,3,place on the head,"いただ-く, いただき"," itada-ku,  itadaki",チョウ,chou
1405,鳥,,鳥,11,2,4,bird,とり, tori,チョウ,chou
1406,朝,,月,12,2,4,morning,あさ, asa,チョウ,chou
1407,貼,,貝,12,S,0,paste,は-る, ha-ru,チョウ,chou
1408,超,,走,12,S,2,transcend,"こ-える, こ-す"," ko-eru,  ko-su",チョウ,chou
1409,腸,,肉,13,6,1,intestines,,,チョウ,chou
1410,跳,,足,13,S,1,hop,"は-ねる, と-ぶ"," ha-neru,  to-bu",チョウ,chou
1411,徴,徵,彳,14,S,1,indications,,,チョウ,chou
1412,嘲,,口,15,S,0,ridicule,あざけ-る, azake-ru,チョウ,chou
1413,潮,,水,15,6,1,tide,しお, shio,チョウ,chou
1414,澄,,水,15,S,1,lucidity,"す-む, す-ます"," su-mu,  su-masu",チョウ,chou
1415,調,,言,15,3,3,investigate,"しら-べる, ととの-う, ととの-える"," shira-beru,  totono-u,  totono-eru",チョウ,chou
1416,聴,聽,耳,17,S,1,listen,き-く, ki-ku,チョウ,chou
1417,懲,懲,心,18,S,1,penal,"こ-りる, こ-らす, こ-らしめる"," ko-riru,  ko-rasu,  ko-rashimeru",チョウ,chou
1418,直,,目,8,2,3,straight,"ただ-ちに, なお-す, なお-る"," tada-chini,  nao-su,  nao-ru","チョク, ジキ","choku,  jiki"
1419,勅,敕,力,9,S,1,imperial order,,,チョク,choku
1420,捗,,手,10,S,0,make progress,,,チョク,choku
1421,沈,,水,7,S,2,sink,"しず-む, しず-める"," shizu-mu,  shizu-meru",チン,chin
1422,珍,,玉,9,S,2,rare,めずら-しい, mezura-shii,チン,chin
1423,朕,,月,10,S,1,majestic plural,,,チン,chin
1424,陳,,阜,11,S,1,exhibit,,,チン,chin
1425,賃,,貝,13,6,2,fare,,,チン,chin
1426,鎮,鎭,金,18,S,1,tranquilize,"しず-める, しず-まる"," shizu-meru,  shizu-maru",チン,chin
1427,追,,辵,9,3,3,follow,お-う, o-u,ツイ,tsui
1428,椎,,木,12,S,1,oak,,,ツイ,tsui
1429,墜,,土,15,S,1,crash,,,ツイ,tsui
1430,通,,辵,10,2,4,pass through,"とお-る, とお-す, かよ-う"," too-ru,  too-su,  kayo-u","ツウ, （ツ）","tsuu,  (tsu)"
1431,痛,,疒,12,6,3,pain,"いた-い, いた-む, いた-める"," ita-i,  ita-mu,  ita-meru",ツウ,tsuu
1432,塚,塚,土,12,S,1,hillock,つか,tsuka,,
1433,漬,,水,14,S,1,pickling,"つ-ける, つ-かる","tsu-keru,  tsu-karu",,
