id,Kanji,Old Kanji,Radical,Strokes,Grade,JLPT,Meanings,Kun yomi,Kun romaji,On yomi,On romaji
223,獲,,犬,16,S,1,seize,え-る, e-ru,カク,kaku
224,嚇,,口,17,S,1,menacing,,,カク,kaku
225,穫,,禾,18,S,1,harvest,,,カク,kaku
226,学,學,子,8,1,5,study,まな-ぶ, mana-bu,ガク,gaku
227,岳,嶽,山,8,S,1,point,たけ, take,ガク,gaku
228,楽,樂,木,13,2,4,pleasure,"たの-しい, たの-しむ"," tano-shii,  tano-shimu","ガク, ラク","gaku,  raku"
229,額,,頁,18,5,2,amount,ひたい, hitai,ガク,gaku
230,顎,,頁,18,S,0,jaw,あご, ago,ガク,gaku
231,掛,,手,11,S,1,hang,"か-ける, か-かる, かかり","ka-keru,  ka-karu,  kakari",,
232,潟,,水,15,4,1,lagoon,かた,kata,,
233,括,,手,9,S,1,fasten,,,カツ,katsu
234,活,,水,9,2,3,active,,,カツ,katsu
235,喝,喝,口,11,S,1,hoarse,,,カツ,katsu
236,渇,渴,水,11,S,1,thirst,かわ-く, kawa-ku,カツ,katsu
237,割,,刀,12,6,3,divide,"わ-る, わり, わ-れる, さ-く"," wa-ru,  wari,  wa-reru,  sa-ku",カツ,katsu
238,葛,,艸,12,S,0,arrowroot,くず, kuzu,カツ,katsu
239,滑,,水,13,S,1,slippery,"すべ-る, なめ-らか"," sube-ru,  name-raka","カツ, コツ","katsu,  kotsu"
240,褐,褐,衣,13,S,1,brown,,,カツ,katsu
241,轄,,車,17,S,1,control,,,カツ,katsu
242,且,,一,5,S,1,moreover,か-つ,ka-tsu,,
243,株,,木,10,6,1,stocks,かぶ,kabu,,
244,釜,,金,10,S,0,kettle,かま,kama,,
245,鎌,,金,18,S,1,sickle,かま,kama,,
246,刈,,刀,4,S,1,reap,か-る,ka-ru,,
247,干,,干,3,6,2,dry,"ほ-す, ひ-る"," ho-su,  hi-ru",カン,kan
248,刊,,刀,5,5,2,publish,,,カン,kan
249,甘,,甘,5,S,2,sweet,"あま-い, あま-える, あま-やかす"," ama-i,  ama-eru,  ama-yakasu",カン,kan
250,汗,,水,6,S,2,sweat,あせ, ase,カン,kan
251,缶,罐,缶,6,S,1,tin can,,,カン,kan
252,完,,宀,7,4,3,perfect,,,カン,kan
253,肝,,肉,7,S,1,liver,きも, kimo,カン,kan
254,官,,宀,8,4,3,government official,,,カン,kan
255,冠,,冖,9,S,1,crown,かんむり, kanmuri,カン,kan
256,巻,卷,卩,9,6,2,scroll,"ま-く, まき"," ma-ku,  maki",カン,kan
257,看,,目,9,6,2,watch over,,,カン,kan
258,陥,陷,阜,10,S,1,collapse,"おちい-る, おとしい-れる"," ochii-ru,  otoshii-reru",カン,kan
259,乾,,乙,11,S,2,dry,"かわ-く, かわ-かす"," kawa-ku,  kawa-kasu",カン,kan
260,勘,,力,11,S,1,intuition,,,カン,kan
261,患,,心,11,S,1,afflicted,わずら-う, wazura-u,カン,kan
262,貫,,貝,11,S,1,pierce,つらぬ-く, tsuranu-ku,カン,kan
263,寒,,宀,12,3,3,cold,さむ-い, samu-i,カン,kan
264,喚,,口,12,S,1,yell,,,カン,kan
265,堪,,土,12,S,1,withstand,た-える, ta-eru,カン,kan
266,換,,手,12,S,2,interchange,"か-える, か-わる"," ka-eru,  ka-waru",カン,kan
267,敢,,攴,12,S,1,daring,,,カン,kan
268,棺,,木,12,S,1,coffin,,,カン,kan
269,款,,欠,12,S,1,goodwill,,,カン,kan
270,間,,門,12,2,5,interval,"あいだ, ま"," aida,  ma","カン, ケン","kan,  ken"
271,閑,,門,12,S,1,leisure,,,カン,kan
272,勧,勸,力,13,S,1,persuade,すす-める, susu-meru,カン,kan
273,寛,寬,宀,13,S,1,tolerant,,,カン,kan
274,幹,,干,13,5,1,tree-trunk,みき, miki,カン,kan
275,感,,心,13,3,3,feeling,,,カン,kan
276,漢,漢,水,13,3,4,China,,,カン,kan
277,慣,,心,14,5,3,accustomed,"な-れる, な-らす"," na-reru,  na-rasu",カン,kan
278,管,,竹,14,4,2,pipe,くだ, kuda,カン,kan
279,関,關,門,14,4,3,related,"せき, かか-わる"," seki,  kaka-waru",カン,kan
280,歓,歡,欠,15,S,1,delight,,,カン,kan
281,監,,皿,15,S,1,oversee,,,カン,kan
282,緩,,糸,15,S,1,slacken,"ゆる-い, ゆる-やか, ゆる-む, ゆる-める"," yuru-i,  yuru-yaka,  yuru-mu,  yuru-meru",カン,kan
283,憾,,心,16,S,1,remorse,,,カン,kan
284,還,,辵,16,S,1,send back,,,カン,kan
285,館,,食,16,3,4,public building,やかた, yakata,カン,kan
286,環,,玉,17,S,2,ring,,,カン,kan
287,簡,,竹,18,6,2,simplicity,,,カン,kan
288,観,觀,見,18,4,3,observe,,,カン,kan
289,韓,,韋,18,S,0,Korea,,,カン,kan
290,艦,,舟,21,S,1,warship,,,カン,kan
291,鑑,,金,23,S,1,specimen,かんが-みる, kanga-miru,カン,kan
292,丸,,丶,3,2,2,circle,"まる, まる-い, まる-める"," maru,  maru-i,  maru-meru",ガン,gan
293,含,,口,7,S,2,include,"ふく-む, ふく-める"," fuku-mu,  fuku-meru",ガン,gan
294,岸,,山,8,3,2,beach,きし, kishi,ガン,gan
295,岩,,山,8,2,2,boulder,いわ, iwa,ガン,gan
296,玩,,玉,8,S,0,trifle with,,,ガン,gan
297,眼,,目,11,5,1,eyeball,まなこ, manako,"ガン, （ゲン）","gan,  (gen)"
298,頑,,頁,13,S,1,stubborn,,,ガン,gan
299,顔,,頁,18,2,3,face,かお, kao,ガン,gan
300,願,,頁,19,4,3,request,ねが-う, nega-u,ガン,gan
301,企,,人,6,S,1,plan,くわだ-てる, kuwada-teru,キ,ki
302,伎,,人,6,S,1,deed,,,キ,ki
303,危,,卩,6,6,3,dangerous,"あぶ-ない, あや-うい, あや-ぶむ"," abu-nai,  aya-ui,  aya-bumu",キ,ki
304,机,,木,6,6,2,desk,つくえ, tsukue,キ,ki
305,気,氣,气,6,1,5,feeling,,,"キ, ケ","ki,  ke"
306,岐,,山,7,4,1,branch off,,,キ,ki
307,希,,巾,7,4,2,hope,,,キ,ki
308,忌,,心,7,S,1,mourning,"い-む, い-まわしい"," i-mu,  i-mawashii",キ,ki
309,汽,,水,7,2,1,steam,,,キ,ki
310,奇,,大,8,S,1,strange,,,キ,ki
311,祈,祈,示,8,S,2,pray,いの-る, ino-ru,キ,ki
312,季,,子,8,4,2,seasons,,,キ,ki
313,紀,,糸,9,5,1,chronicle,,,キ,ki
314,軌,,車,9,S,1,rut,,,キ,ki
315,既,既,无,10,S,1,previously,すで-に, sude-ni,キ,ki
316,記,,言,10,2,3,write down,しる-す, shiru-su,キ,ki
317,起,,走,10,3,4,wake up,"お-きる, お-こる, お-こす"," o-kiru,  o-koru,  o-kosu",キ,ki
318,飢,,食,10,S,1,hungry,う-える, u-eru,キ,ki
319,鬼,,鬼,10,S,1,ghost,おに, oni,キ,ki
